trip_id,vehicle_id,driver_id,trip_date,origin_city,destination_city,distance_km,duration_min
151,40,15,2025-12-12,Lankaran,Lankaran,294.6,498
152,18,5,2025-01-15,Sumgait,Sumgait,93.5,114
153,1,7,2025-04-03,Baku,Ganja,393.4,510
154,48,9,2025-11-21,Ganja,Mingachevir,437.7,713
155,27,12,2025-08-21,Sumgait,Shaki,163.3,231
156,39,13,2025-02-13,Shaki,Baku,399.3,629
157,44,8,2025-02-11,Shaki,Mingachevir,133.4,166
158,27,6,2025-05-20,Mingachevir,Baku,108.8,144
159,19,11,2025-12-14,Sumgait,Baku,310.1,416
160,15,4,2025-07-22,Sumgait,Ganja,443.2,737
161,50,2,2025-03-12,Baku,Mingachevir,347.4,511
162,48,12,2025-08-09,Ganja,Shaki,91.4,129
163,36,14,2025-12-09,Lankaran,Baku,365.7,602
164,28,6,2025-01-10,Shaki,Mingachevir,215.0,353
165,37,2,2025-07-27,Mingachevir,Baku,323.6,448
166,21,14,2025-03-29,Lankaran,Sumgait,363.6,461
167,6,10,2025-08-12,Mingachevir,Shaki,382.4,576
168,6,4,2025-07-22,Sumgait,Ganja,393.7,473
169,5,4,2025-09-19,Sumgait,Sumgait,290.5,382
170,47,3,2025-11-27,Sumgait,Ganja,369.5,558
171,12,2,2025-11-05,Ganja,Lankaran,81.5,97
172,32,8,2025-08-26,Lankaran,Shaki,343.2,410
173,42,11,2025-11-22,Sumgait,Ganja,444.1,643
174,29,13,2025-02-04,Sumgait,Shaki,219.0,276
175,4,8,2025-06-30,Baku,Baku,235.7,343
176,24,14,2025-05-27,Baku,Shaki,48.4,56
177,39,13,2025-09-17,Lankaran,Baku,182.2,235
178,29,8,2025-10-20,Shaki,Ganja,298.5,432
179,4,6,2025-08-19,Lankaran,Baku,60.0,68
180,33,8,2025-11-27,Mingachevir,Shaki,90.1,135
181,34,5,2025-11-09,Mingachevir,Mingachevir,84.1,119
182,50,11,2025-06-23,Lankaran,Sumgait,310.3,516
183,5,5,2025-06-18,Sumgait,Lankaran,56.1,69
184,43,10,2025-11-05,Lankaran,Ganja,394.9,569
185,23,7,2025-06-08,Ganja,Shaki,435.9,534
186,46,13,2025-02-13,Sumgait,Ganja,149.7,211
187,43,11,2025-12-26,Shaki,Baku,375.6,453
188,42,6,2025-12-10,Sumgait,Ganja,199.2,283
189,14,4,2025-06-24,Ganja,Ganja,427.2,573
190,5,13,2025-06-01,Shaki,Lankaran,382.3,620
191,34,10,2025-01-20,Ganja,Shaki,302.9,346
192,25,13,2025-03-20,Shaki,Ganja,85.6,99
193,47,12,2025-08-13,Ganja,Mingachevir,34.0,48
194,40,4,2025-05-26,Shaki,Ganja,342.3,405
195,20,11,2025-08-29,Shaki,Mingachevir,408.2,630
196,30,7,2025-05-25,Ganja,Ganja,353.5,471
197,39,8,2025-03-12,Sumgait,Shaki,394.8,657
198,7,5,2025-12-31,Baku,Ganja,383.0,442
199,18,7,2025-08-19,Baku,Ganja,408.8,646
200,29,7,2025-06-28,Shaki,Sumgait,419.8,582
201,16,1,2025-07-17,Sumgait,Baku,447.6,632
202,46,1,2025-11-29,Sumgait,Mingachevir,160.9,255
203,45,10,2025-03-13,Baku,Baku,345.1,467
204,2,12,2025-05-12,Shaki,Shaki,108.8,172
205,28,2,2025-02-26,Baku,Ganja,352.6,532
206,27,2,2025-11-24,Mingachevir,Shaki,360.3,490
207,35,12,2025-01-09,Ganja,Sumgait,289.9,374
208,28,7,2025-01-01,Ganja,Lankaran,282.4,426
209,43,9,2025-02-13,Shaki,Shaki,242.7,345
210,33,1,2025-10-11,Lankaran,Mingachevir,23.8,27
211,24,2,2025-05-10,Sumgait,Ganja,340.1,484
212,47,12,2025-12-03,Sumgait,Ganja,288.3,343
213,3,3,2025-06-30,Lankaran,Mingachevir,252.5,295
214,45,2,2025-09-03,Lankaran,Mingachevir,289.8,339
215,3,15,2025-05-31,Baku,Sumgait,102.7,121
216,20,8,2025-09-21,Sumgait,Baku,188.2,220
217,49,13,2025-11-28,Baku,Lankaran,98.1,140
218,22,15,2025-05-20,Mingachevir,Lankaran,69.1,98
219,29,12,2025-07-17,Mingachevir,Sumgait,162.5,252
220,34,2,2025-05-17,Mingachevir,Shaki,363.5,440
221,12,6,2025-10-07,Lankaran,Sumgait,142.8,231
222,20,12,2025-08-17,Mingachevir,Sumgait,277.1,382
223,29,10,2025-01-22,Mingachevir,Sumgait,331.2,373
224,41,6,2025-01-30,Shaki,Lankaran,47.6,60
225,44,10,2025-03-23,Lankaran,Mingachevir,429.5,681
226,3,6,2025-03-06,Sumgait,Mingachevir,44.2,52
227,37,6,2025-01-17,Sumgait,Mingachevir,278.2,344
228,49,7,2025-02-09,Sumgait,Lankaran,264.7,348
229,18,3,2025-05-08,Mingachevir,Shaki,432.8,731
230,25,12,2025-10-15,Mingachevir,Ganja,66.2,79
231,40,4,2025-05-27,Baku,Ganja,316.9,346
232,5,2,2025-08-20,Lankaran,Sumgait,90.1,110
233,43,5,2025-06-27,Sumgait,Ganja,323.7,422
234,46,13,2025-12-30,Sumgait,Shaki,418.4,526
235,15,4,2025-03-04,Mingachevir,Baku,443.5,523
236,24,9,2025-10-11,Ganja,Shaki,263.9,357
237,6,12,2025-02-03,Mingachevir,Shaki,149.5,163
238,27,6,2025-07-29,Lankaran,Baku,373.2,614
239,29,15,2025-08-27,Shaki,Lankaran,310.8,445
240,38,9,2025-04-04,Baku,Baku,349.0,557
241,34,15,2025-03-20,Lankaran,Ganja,147.3,231
242,23,5,2025-09-23,Ganja,Lankaran,404.3,467
243,36,9,2025-05-21,Baku,Shaki,69.4,101
244,42,3,2025-03-28,Lankaran,Shaki,272.4,351
245,47,1,2025-11-06,Baku,Baku,161.9,182
246,3,4,2025-11-25,Shaki,Mingachevir,350.4,522
247,40,9,2025-11-24,Sumgait,Lankaran,28.2,32
248,20,7,2025-09-05,Sumgait,Mingachevir,121.5,143
249,5,8,2025-12-19,Mingachevir,Ganja,41.1,56
250,22,6,2025-11-07,Lankaran,Sumgait,77.5,89
251,26,2,2025-03-08,Sumgait,Ganja,345.9,458
252,30,2,2025-03-04,Baku,Sumgait,131.4,197
253,25,15,2025-11-12,Ganja,Sumgait,196.9,218
254,37,9,2025-06-10,Mingachevir,Mingachevir,97.6,153
255,20,9,2025-09-12,Mingachevir,Ganja,25.1,28
256,14,8,2025-10-26,Shaki,Lankaran,168.5,281
257,44,2,2025-08-29,Mingachevir,Ganja,139.3,238
258,17,7,2025-07-07,Baku,Shaki,347.3,492
259,36,7,2025-04-10,Shaki,Mingachevir,172.7,254
260,49,11,2025-10-09,Shaki,Baku,136.7,150
261,9,6,2025-02-19,Shaki,Sumgait,186.3,220
262,49,9,2025-03-15,Baku,Baku,101.6,135
263,3,9,2025-03-12,Mingachevir,Ganja,325.4,382
264,39,6,2025-09-21,Ganja,Mingachevir,75.8,85
265,40,9,2025-06-03,Shaki,Mingachevir,273.3,363
266,46,6,2025-10-16,Sumgait,Lankaran,145.4,170
267,8,12,2025-08-02,Lankaran,Lankaran,268.9,317
268,2,13,2025-11-02,Shaki,Shaki,221.4,244
269,15,11,2025-01-27,Lankaran,Shaki,268.8,420
270,50,1,2025-07-14,Shaki,Lankaran,79.3,98
271,8,3,2025-04-08,Mingachevir,Lankaran,23.2,34
272,14,8,2025-07-30,Lankaran,Lankaran,233.3,296
273,4,6,2025-12-28,Lankaran,Mingachevir,75.1,115
274,34,15,2025-07-12,Shaki,Sumgait,151.5,236
275,35,11,2025-07-01,Lankaran,Lankaran,309.0,354
276,17,5,2025-11-09,Shaki,Sumgait,225.6,250
277,15,12,2025-06-02,Lankaran,Mingachevir,350.5,428
278,21,13,2025-09-03,Lankaran,Sumgait,166.7,186
279,19,15,2025-03-04,Mingachevir,Sumgait,264.5,346
280,50,12,2025-03-16,Baku,Sumgait,141.3,208
281,29,4,2025-12-02,Shaki,Sumgait,126.6,170
282,36,12,2025-12-23,Shaki,Ganja,133.2,215
283,16,11,2025-01-26,Ganja,Baku,306.4,403
284,7,11,2025-07-31,Ganja,Baku,158.7,214
285,36,15,2025-03-22,Mingachevir,Mingachevir,192.0,215
286,42,5,2025-04-13,Lankaran,Baku,343.8,506
287,50,12,2025-02-15,Lankaran,Baku,298.7,452
288,12,15,2025-08-02,Baku,Mingachevir,398.8,621
289,32,15,2025-04-06,Sumgait,Baku,422.4,467
290,1,6,2025-06-02,Sumgait,Mingachevir,262.1,423
291,42,3,2025-10-06,Shaki,Mingachevir,243.1,276
292,18,12,2025-04-09,Mingachevir,Lankaran,366.8,529
293,17,5,2025-04-06,Shaki,Lankaran,21.1,30
294,49,15,2025-04-09,Mingachevir,Mingachevir,91.3,105
295,33,3,2025-06-17,Ganja,Mingachevir,52.7,65
296,21,8,2025-05-08,Sumgait,Sumgait,18.0,25
297,20,11,2025-10-26,Sumgait,Lankaran,329.5,561
298,16,3,2025-02-01,Mingachevir,Lankaran,305.5,414
299,33,11,2025-12-27,Sumgait,Sumgait,349.9,430
300,40,3,2025-04-24,Mingachevir,Lankaran,110.3,176
