fuel_log_id,vehicle_id,log_date,liters,price_per_liter_azn,total_cost_azn,odometer_km
129,50,2025-10-27,27.6,1.06,29.26,40697
130,30,2025-06-10,48.5,1.32,64.02,66390
131,14,2025-08-20,41.6,1.16,48.26,24216
132,6,2025-03-22,76.5,1.18,90.27,49352
133,45,2025-11-05,22.8,1.5,34.2,21787
134,10,2025-02-16,69.8,1.58,110.28,37922
135,33,2025-01-26,67.4,1.16,78.18,22512
136,2,2025-07-27,79.8,1.33,106.13,37028
137,16,2025-02-18,52.3,1.48,77.4,22248
138,8,2025-01-07,24.3,1.47,35.72,26417
139,9,2025-04-12,77.7,1.22,94.79,43921
140,42,2025-02-13,60.8,1.16,70.53,71931
141,5,2025-01-12,89.8,1.12,100.58,51440
142,29,2025-03-07,26.4,1.51,39.86,54940
143,22,2025-03-04,23.0,1.28,29.44,23261
144,37,2025-08-10,77.5,1.24,96.1,2002
145,25,2025-12-16,49.9,1.21,60.38,75100
146,12,2025-05-21,39.6,1.53,60.59,20520
147,40,2025-11-14,63.2,1.39,87.85,51837
148,27,2025-10-09,53.5,1.05,56.18,42060
149,9,2025-08-03,34.0,1.53,52.02,37073
150,16,2025-11-19,89.6,1.33,119.17,14366
151,25,2025-07-03,53.6,1.47,78.79,38120
152,37,2025-09-15,42.5,1.16,49.3,1778
153,21,2025-11-02,35.3,1.54,54.36,54508
154,18,2025-01-30,76.6,1.28,98.05,35928
155,50,2025-10-27,90.0,1.58,142.2,17797
156,16,2025-12-03,36.9,1.32,48.71,64941
157,48,2025-01-29,73.5,1.57,115.4,55901
158,25,2025-07-01,85.5,1.59,135.94,26958
159,12,2025-05-02,61.5,1.48,91.02,63969
160,23,2025-10-30,22.0,1.42,31.24,37839
161,37,2025-03-14,59.4,1.11,65.93,53180
162,32,2025-10-05,41.6,1.29,53.66,19385
163,4,2025-04-30,62.1,1.01,62.72,50634
164,1,2025-06-19,84.3,1.12,94.42,11909
165,22,2025-04-01,84.3,1.51,127.29,33458
166,4,2025-01-12,30.3,1.42,43.03,28592
167,50,2025-02-26,79.3,1.52,120.54,15988
168,24,2025-12-27,85.9,1.24,106.52,25212
169,22,2025-06-04,42.6,1.59,67.73,60247
170,28,2025-11-24,87.2,1.39,121.21,30693
171,46,2025-10-15,68.5,1.56,106.86,60266
172,23,2025-04-25,66.6,1.49,99.23,25435
173,20,2025-12-19,40.6,1.11,45.07,14363
174,45,2025-10-21,47.4,1.6,75.84,37495
175,3,2025-04-04,62.2,1.55,96.41,46582
176,15,2025-11-24,59.6,1.56,92.98,17298
177,22,2025-02-09,36.7,1.59,58.35,23254
178,41,2025-02-15,77.5,1.4,108.5,50419
179,22,2025-08-17,20.8,1.13,23.5,57679
180,5,2025-06-29,38.0,1.06,40.28,9188
181,4,2025-07-17,50.7,1.25,63.38,30210
182,27,2025-09-10,81.7,1.21,98.86,41557
183,7,2025-09-03,75.2,1.35,101.52,64746
184,44,2025-04-26,31.4,1.04,32.66,64130
185,3,2025-05-31,21.4,1.16,24.82,13378
186,5,2025-06-25,31.9,1.23,39.24,57076
187,5,2025-10-08,85.9,1.59,136.58,31252
188,39,2025-11-11,82.5,1.42,117.15,30183
189,42,2025-03-26,62.5,1.26,78.75,22176
190,7,2025-06-19,34.4,1.11,38.18,60745
191,36,2025-10-04,38.6,1.17,45.16,28884
192,7,2025-01-26,47.5,1.33,63.18,47228
193,10,2025-01-28,45.3,1.26,57.08,31257
194,43,2025-11-17,62.0,1.12,69.44,20811
195,14,2025-03-29,64.7,1.59,102.87,47393
196,8,2025-06-07,74.9,1.28,95.87,70496
197,43,2025-05-16,26.4,1.33,35.11,31241
198,24,2025-07-15,45.9,1.27,58.29,35846
199,29,2025-08-27,38.4,1.5,57.6,38907
200,4,2025-03-19,72.7,1.4,101.78,24925
201,43,2025-06-26,76.6,1.25,95.75,68700
202,38,2025-04-27,58.8,1.5,88.2,71846
203,34,2025-08-03,87.6,1.41,123.52,44942
204,37,2025-05-01,53.3,1.05,55.96,59234
205,46,2025-01-18,55.1,1.54,84.85,61148
206,37,2025-12-13,88.8,1.09,96.79,49693
207,29,2025-03-30,86.4,1.1,95.04,15815
208,13,2025-03-06,23.0,1.05,24.15,57914
209,28,2025-04-14,89.8,1.38,123.92,73941
210,39,2025-05-13,42.4,1.44,61.06,54826
211,5,2025-02-14,47.2,1.24,58.53,30478
212,18,2025-09-24,52.1,1.52,79.19,64051
213,45,2025-11-16,61.1,1.47,89.82,7679
214,27,2025-03-18,30.4,1.35,41.04,66660
215,7,2025-02-24,59.4,1.06,62.96,33803
216,35,2025-06-26,81.5,1.16,94.54,46120
217,32,2025-10-20,62.6,1.02,63.85,31519
218,26,2025-03-15,63.3,1.41,89.25,43998
219,3,2025-07-22,82.3,1.2,98.76,22084
220,4,2025-09-01,84.5,1.54,130.13,20634
221,22,2025-06-05,41.8,1.51,63.12,68497
222,45,2025-12-17,26.9,1.52,40.89,9112
223,20,2025-08-15,74.2,1.19,88.3,62008
224,27,2025-11-06,65.2,1.11,72.37,30812
225,27,2025-09-06,73.2,1.52,111.26,70765
226,4,2025-09-21,75.4,1.04,78.42,65811
227,33,2025-07-26,29.5,1.51,44.55,68745
228,37,2025-01-15,32.2,1.53,49.27,13224
229,4,2025-05-08,22.3,1.03,22.97,42926
230,46,2025-04-12,39.2,1.49,58.41,41793
231,26,2025-11-22,84.6,1.41,119.29,33526
232,24,2025-09-08,61.6,1.11,68.38,75638
233,31,2025-10-28,58.6,1.21,70.91,70394
234,17,2025-12-19,26.3,1.02,26.83,6845
235,11,2025-10-20,74.6,1.13,84.3,20113
236,42,2025-04-26,67.4,1.16,78.18,45504
237,33,2025-01-11,80.5,1.58,127.19,55826
238,1,2025-08-31,83.8,1.39,116.48,42754
239,1,2025-04-25,37.7,1.48,55.8,23376
240,46,2025-12-30,65.0,1.25,81.25,33362
241,23,2025-08-24,37.6,1.28,48.13,45018
242,34,2025-11-16,47.8,1.06,50.67,47346
243,43,2025-07-11,59.3,1.36,80.65,37650
244,20,2025-12-17,27.6,1.04,28.7,32365
245,41,2025-06-16,80.3,1.16,93.15,49227
246,42,2025-06-02,33.2,1.31,43.49,34415
247,4,2025-11-04,48.3,1.19,57.48,28479
248,47,2025-01-14,65.9,1.6,105.44,22170
249,27,2025-07-27,47.2,1.02,48.14,63363
250,37,2025-04-08,44.0,1.43,62.92,45048
251,35,2025-11-23,74.9,1.54,115.35,47239
252,23,2025-09-17,41.0,1.1,45.1,43735
253,36,2025-04-03,40.6,1.28,51.97,61873
254,17,2025-10-14,73.4,1.11,81.47,48137
255,22,2025-12-02,26.3,1.21,31.82,61024
256,20,2025-08-04,75.2,1.2,90.24,31322
257,38,2025-05-31,52.5,1.07,56.18,21728
258,41,2025-10-26,60.6,1.37,83.02,33572
259,13,2025-09-14,28.4,1.41,40.04,47868
260,20,2025-07-31,23.8,1.51,35.94,23248
261,13,2025-06-25,48.6,1.34,65.12,72561
262,30,2025-03-15,42.1,1.43,60.2,66954
263,6,2025-09-07,43.3,1.59,68.85,23708
264,41,2025-01-30,20.3,1.16,23.55,52510
265,50,2025-03-28,60.3,1.1,66.33,62694
266,49,2025-02-15,29.1,1.26,36.67,31648
267,26,2025-08-08,87.6,1.23,107.75,20143
268,35,2025-04-13,71.1,1.57,111.63,61666
269,21,2025-09-29,33.3,1.41,46.95,44556
270,47,2025-05-08,35.8,1.53,54.77,25622
271,9,2025-02-22,46.8,1.35,63.18,13559
272,5,2025-01-24,40.9,1.17,47.85,56804
273,34,2025-11-02,56.7,1.26,71.44,58832
274,9,2025-06-25,89.7,1.29,115.71,51773
275,13,2025-03-26,86.4,1.55,133.92,39581
276,2,2025-04-27,35.7,1.59,56.76,14816
277,47,2025-01-12,61.3,1.1,67.43,29193
278,46,2025-11-30,75.4,1.23,92.74,50654
279,17,2025-10-01,63.6,1.36,86.5,6735
280,43,2025-02-25,65.7,1.01,66.36,64328
281,8,2025-08-02,51.1,1.07,54.68,28413
282,31,2025-12-26,30.7,1.42,43.59,56806
283,1,2025-06-04,49.5,1.06,52.47,37456
284,18,2025-11-15,62.4,1.08,67.39,66941
285,7,2025-09-19,70.3,1.07,75.22,22525
286,7,2025-09-12,33.9,1.12,37.97,32289
287,34,2025-04-14,45.1,1.25,56.38,24334
288,3,2025-10-08,54.7,1.12,61.26,38015
289,22,2025-05-01,20.2,1.4,28.28,71685
290,8,2025-10-21,66.8,1.09,72.81,17753
291,50,2025-09-19,25.3,1.43,36.18,70530
292,17,2025-11-26,36.2,1.59,57.56,22992
293,17,2025-08-26,23.5,1.49,35.02,60879
294,3,2025-05-29,45.2,1.41,63.73,34433
295,48,2025-03-01,26.6,1.45,38.57,21180
296,1,2025-03-12,66.4,1.1,73.04,26788
297,29,2025-11-15,38.8,1.44,55.87,26349
298,22,2025-04-04,28.0,1.24,34.72,42171
299,18,2025-07-17,68.3,1.29,88.11,40143
300,42,2025-03-27,27.9,1.42,39.62,22510
